Column1;x;group
1;biomarker discovery;outcome
7;diabetes mellitus type 2;disease
16;mass spectrometry;analysis
20;proteomic analysis;analysis
22;type-2 diabetes;disease
23;type-2 diabetes-mellitus;disease
24;type 2 diabetes;disease
25;type 2 diabetes mellitus;disease
32;candidate biomarkers;outcome
40;diagnostic biomarkers;outcome
43;differentially expressed proteins;outcome
54;expressed proteins;outcome
89;potential biomarker;outcome
90;potential biomarkers;outcome
92;protein biomarker;outcome
93;protein biomarkers;outcome
94;protein expression;outcome
96;protein level;outcome
97;protein markers;outcome
98;protein profile;outcome
99;proteome analysis;analysis
100;proteomic approach;analysis
101;proteomic biomarkers;outcome
102;proteomic profile;analysis
103;proteomic profiling;analysis
104;quantitative proteomic;analysis
105;quantitative proteomics;analysis
