PMID,Title,Authors,Citation,First Author,Journal/Book,Publication Year,Create Date,PMCID,NIHMS ID,DOI
"32437301","Metabolomics and Proteomics in Type 2 Diabetes","Chen ZZ, Gerszten RE.","Circ Res. 2020 May 22;126(11):1613-1627. doi: 10.1161/CIRCRESAHA.120.315898. Epub 2020 May 21.","Chen ZZ","Circ Res","2020","2020/05/22","PMC11118076","NIHMS1585000","10.1161/CIRCRESAHA.120.315898"
"36382190","Advances in multi-omics study of biomarkers of glycolipid metabolism disorder","Fang X, Miao R, Wei J, Wu H, Tian J.","Comput Struct Biotechnol J. 2022 Oct 25;20:5935-5951. doi: 10.1016/j.csbj.2022.10.030. eCollection 2022.","Fang X","Comput Struct Biotechnol J","2022","2022/11/16","PMC9646750","","10.1016/j.csbj.2022.10.030"
"30669119","DNA methylation GrimAge strongly predicts lifespan and healthspan","Lu AT, Quach A, Wilson JG, Reiner AP, Aviv A, Raj K, Hou L, Baccarelli AA, Li Y, Stewart JD, Whitsel EA, Assimes TL, Ferrucci L, Horvath S.","Aging (Albany NY). 2019 Jan 21;11(2):303-327. doi: 10.18632/aging.101684.","Lu AT","Aging (Albany NY)","2019","2019/01/23","PMC6366976","","10.18632/aging.101684"
"32909269","Alzheimer's disease and type 2 diabetes mellitus: A systematic review of proteomic studies","Diniz Pereira J, Gomes Fraga V, Morais Santos AL, Carvalho MDG, Caramelli P, Braga Gomes K.","J Neurochem. 2021 Mar;156(6):753-776. doi: 10.1111/jnc.15166. Epub 2020 Oct 7.","Diniz Pereira J","J Neurochem","2021","2020/09/10","","","10.1111/jnc.15166"
"37889320","Multi-omic prediction of incident type 2 diabetes","Carrasco-Zanini J, Pietzner M, Wheeler E, Kerrison ND, Langenberg C, Wareham NJ.","Diabetologia. 2024 Jan;67(1):102-112. doi: 10.1007/s00125-023-06027-x. Epub 2023 Oct 27.","Carrasco-Zanini J","Diabetologia","2024","2023/10/27","PMC10709231","","10.1007/s00125-023-06027-x"
"34737094","Serum integrative omics reveals the landscape of human diabetic kidney disease","Liu S, Gui Y, Wang MS, Zhang L, Xu T, Pan Y, Zhang K, Yu Y, Xiao L, Qiao Y, Bonin C, Hargis G, Huan T, Yu Y, Tao J, Zhang R, Kreutzer DL, Zhou Y, Tian XJ, Wang Y, Fu H, An X, Liu S, Zhou D.","Mol Metab. 2021 Dec;54:101367. doi: 10.1016/j.molmet.2021.101367. Epub 2021 Nov 1.","Liu S","Mol Metab","2021","2021/11/05","PMC8609166","","10.1016/j.molmet.2021.101367"
"36870307","Jiang-Tang-San-Huang pill alleviates type 2 diabetes mellitus through modulating the gut microbiota and bile acids metabolism","Tawulie D, Jin L, Shang X, Li Y, Sun L, Xie H, Zhao J, Liao J, Zhu Z, Cui H, Wen W.","Phytomedicine. 2023 May;113:154733. doi: 10.1016/j.phymed.2023.154733. Epub 2023 Feb 26.","Tawulie D","Phytomedicine","2023","2023/03/04","","","10.1016/j.phymed.2023.154733"
"35482474","Biomarkers of disease progression in people with psoriasis: a scoping review","Ramessur R, Corbett M, Marshall D, Acencio ML, Barbosa IA, Dand N, Di Meglio P, Haddad S, Jensen AHM, Koopmann W, Mahil SK, Ostaszewski M, Rahmatulla S, Rastrick J, Saklatvala J, Weidinger S, Wright K, Eyerich K, Ndlovu M, Barker JN, Skov L, Conrad C, Smith CH; BIOMAP consortium.","Br J Dermatol. 2022 Oct;187(4):481-493. doi: 10.1111/bjd.21627. Epub 2022 Jul 11.","Ramessur R","Br J Dermatol","2022","2022/04/28","PMC9796834","","10.1111/bjd.21627"
"31896304","Increased Drp1 Acetylation by Lipid Overload Induces Cardiomyocyte Death and Heart Dysfunction","Hu Q, Zhang H, Gutiérrez Cortés N, Wu D, Wang P, Zhang J, Mattison JA, Smith E, Bettcher LF, Wang M, Lakatta EG, Sheu SS, Wang W.","Circ Res. 2020 Feb 14;126(4):456-470. doi: 10.1161/CIRCRESAHA.119.315252. Epub 2020 Jan 3.","Hu Q","Circ Res","2020","2020/01/04","PMC7035202","NIHMS1549156","10.1161/CIRCRESAHA.119.315252"
"35023833","Epigenetic scores for the circulating proteome as tools for disease prediction","Gadd DA, Hillary RF, McCartney DL, Zaghlool SB, Stevenson AJ, Cheng Y, Fawns-Ritchie C, Nangle C, Campbell A, Flaig R, Harris SE, Walker RM, Shi L, Tucker-Drob EM, Gieger C, Peters A, Waldenberger M, Graumann J, McRae AF, Deary IJ, Porteous DJ, Hayward C, Visscher PM, Cox SR, Evans KL, McIntosh AM, Suhre K, Marioni RE.","Elife. 2022 Jan 13;11:e71802. doi: 10.7554/eLife.71802.","Gadd DA","Elife","2022","2022/01/13","PMC8880990","","10.7554/eLife.71802"
